id,en_name,ja_name,ja_summary
14,Silicon,シリコン,シリコンは、記号 Si、原子番号 14 の化学元素です。これは四価の半金属で、表のすぐ下にある半金属であるゲルマニウムよりも反応性が高いです。シリコンの特性に関する論争は、シリコンが発見されたときから始まっています。
15,Phosphorus,リン,リンは、記号 P、原子番号 15 の化学元素です。元素として、リンは白リンと赤リンの 2 つの主要な形で存在しますが、反応性が高いため、地球上では自由元素として見つかることはありません。代わりに、リンを含む鉱物は、無機リン酸塩岩として、ほぼ常に最大限に酸化された状態で存在します。
16,Sulfur,硫黄,硫黄または sulhur (綴りの違いを参照) は、記号 S、原子番号 16 の化学元素です。豊富に存在する多価の非金属です。通常の状態では、硫黄原子は化学式 S8 の環状八原子分子を??形成します。
17,Chlorine,塩素,塩素は、記号 Cl で原子番号 17 の化学元素です。相対原子質量は 35.5 です。塩素はハロゲン族 (17) に属し、フッ素に次いで 2 番目に軽いハロゲンです。
18,Argon,アルゴン,"アルゴンは、記号 Ar で原子番号 18 の化学元素です。周期表の 18 族に属し、希ガスです。アルゴンは、地球の大気中で 3 番目に多いガスで、その含有量は 0.934% (9,340 ppmv) です。これは、次に多い大気ガスである水蒸気 (平均約 4000 ppmv ですが、大きく異なります) の 2 倍以上、次に多い非凝縮性大気ガスである二酸化炭素 (400 ppmv) の 23 倍、次に多い希ガスであるネオン (18 ppmv) の 500 倍以上です。"
19,Potassium,カリウム,カリウムは、記号 K (新ラテン語の kalium に由来)、原子番号 19 の化学元素です。カリウムは、植物の灰であるカリから初めて分離され、その名前の由来となっています。周期表では、カリウムは列 (グループ) 1 (アルカリ金属) の 7 つの元素の 1 つです。これらはすべて、外殻に 1 つの価電子を持ち、これを容易に手放して正電荷を持つ原子 (陽イオン) を作り、陰イオンと結合して塩を形成します。
20,Calcium,カルシウム,カルシウムは、記号 Ca、原子番号 20 の化学元素です。カルシウムは、柔らかい灰色のアルカリ土類金属で、地殻に質量で 5 番目に多く存在する元素です。イオン Ca2+ は、海水中の溶解イオンの中でも、モル濃度と質量の両方で、ナトリウム、塩化物、マグネシウム、硫酸塩に次いで 5 番目に多く存在します。
21,Scandium,スカンジウム,スカンジウムは、記号 Sc、原子番号 21 の化学元素です。銀白色の金属 d ブロック元素で、歴史的にはイットリウムやランタノイドとともに希土類元素に分類されることもありました。1879 年にスカンジナビアの鉱物ユークセナイトとガドリナイトのスペクトル分析によって発見されました。
22,Titanium,チタン,チタンは、記号 Ti、原子番号 22 の化学元素です。銀色で、密度が低く、強度が高い光沢のある遷移金属です。海水、王水、塩素に対する耐腐食性に優れています。
23,Vanadium,バナジウム,バナジウムは、記号 V、原子番号 23 の化学元素です。硬く、銀灰色で、延性と展性がある遷移金属です。この元素は、自然界では化学的に結合した形でのみ存在しますが、人工的に単離すると、酸化物層の形成により、自由金属がそれ以上の酸化に対してある程度安定します。
24,Chromium,クロム,クロムは、記号 Cr、原子番号 24 の化学元素です。第 6 族の最初の元素です。鋼のような灰色で光沢のある硬くて脆い金属で、磨きやすく、変色しにくく、融点が高いです。
25,Manganese,マンガン,マンガンは、記号 Mn、原子番号 25 の化学元素です。自然界では自由元素として存在せず、鉄と組み合わさって、多くの鉱物に存在します。マンガンは、特にステンレス鋼で重要な工業用金属合金として使用される金属です。
26,Iron,鉄,鉄は、記号 Fe (ラテン語: ferrum から)、原子番号 26 の化学元素です。第 1 遷移系列の金属です。質量で地球上で最も一般的な元素で、地球の外核と内核の大部分を形成しています。
27,Cobalt,コバルト,コバルトは、記号 Co、原子番号 27 の化学元素です。ニッケルと同様に、地殻内のコバルトは、天然の隕鉄の合金に見られる少量の鉱床を除き、化学的に結合した形でのみ見つかります。還元精錬によって生成される自由元素は、硬く光沢のある銀灰色の金属です。
28,Nickel,ニッケル,ニッケルは、記号 Ni、原子番号 28 の化学元素です。わずかに金色がかった銀白色の光沢のある金属です。ニッケルは遷移金属に属し、硬く延性があります。
29,Copper,銅,銅は、記号 Cu (ラテン語: cuprum から)、原子番号 29 の化学元素です。銅は、熱伝導性と電気伝導性が非常に高い、柔らかく、展性があり、延性のある金属です。純銅の露出したばかりの表面は、赤みがかったオレンジ色です。
30,Zinc,亜鉛,亜鉛は、商業的にはスペルターとも呼ばれ、記号 Zn、原子番号 30 の化学元素です。周期表の 12 族の最初の元素です。亜鉛は、いくつかの点で化学的にマグネシウムに似ています。イオンのサイズは似ており、共通の酸化状態は +2 のみです。
31,Gallium,ガリウム,ガリウムは、記号 Ga、原子番号 31 の化学元素です。元素ガリウムは、自然界では自由形では存在せず、亜鉛鉱石やボーキサイトに微量含まれるガリウム (III) 化合物として存在します。ガリウムは銀色の柔らかい金属で、元素ガリウムは低温では脆い固体で、29.76 °C (85.57 °F) (室温よりわずかに高い) で融解します。
32,Germanium,ゲルマニウム,ゲルマニウムは、記号 Ge、原子番号 32 の化学元素です。炭素グループの光沢のある硬い灰白色の半金属で、化学的には同グループの隣のスズやシリコンに似ています。精製されたゲルマニウムは半導体で、外観は元素シリコンに最も似ています。
33,Arsenic,ヒ素,ヒ素は、記号 As、原子番号 33 の化学元素です。ヒ素は多くの鉱物に存在し、通常は硫黄や金属と一緒に存在しますが、純粋な元素結晶としても存在します。ヒ素は半金属です。
34,Selenium,セレン,セレンは、記号 Se、原子番号 34 の化学元素です。これは非金属で、周期表の同じ列に隣接するカルコゲン元素である硫黄とテルルの中間の特性を持っています。自然界では元素状態で、または純粋な鉱石化合物としてはほとんど存在しません。
35,Bromine,臭素,"臭素 (古代ギリシャ語: βρ?μο?, br?mos、「悪臭」の意味) は、記号 Br、原子番号 35 の化学元素です。これはハロゲンです。この元素は、1825 年から 1826 年にかけて、2 人の化学者、カール ヤコブ レーヴィヒとアントワーヌ ジェローム バラールによって独立して単離されました。"
36,Krypton,クリプトン,クリプトン (ギリシャ語: κρυπτ?? kryptos、「隠されたもの」の意味) は、記号 Kr、原子番号 36 の化学元素です。これは、第 18 族 (希ガス) 元素のメンバーです。無色、無臭、無味の希ガスであるクリプトンは、大気中に微量存在し、液化空気を分留することで分離され、蛍光灯では他の希ガスとともによく使用されます。
37,Rubidium,ルビジウム,ルビジウムは、記号 Rb、原子番号 37 の化学元素です。ルビジウムは、アルカリ金属グループの柔らかい銀白色の金属元素で、原子量は 85.4678 です。ルビジウム元素は反応性が高く、空気中で非常に急速に酸化するなど、他のアルカリ金属と同様の特性を持っています。
38,Strontium,ストロンチウム,ストロンチウムは、記号 Sr、原子番号 38 の化学元素です。アルカリ土類金属であるストロンチウムは、化学的に非常に反応性の高い柔らかい銀白色または黄色がかった金属元素です。金属は空気にさらされると黄色に変わります。
39,Yttrium,イットリウム,イットリウムは、記号 Y、原子番号 39 の化学元素です。銀色の金属遷移金属で、化学的にはランタノイドに似ており、「希土類元素」に分類されることがよくあります。イットリウムは、希土類鉱物の中でランタノイドと結合した状態で見つかることがほとんどで、自然界では自由元素として見つかることはありません。
40,Zirconium,ジルコニウム,ジルコニウムは、記号 Zr、原子番号 40 の化学元素です。ジルコニウムの名前は、ジルコニウムの最も重要な供給源である鉱物ジルコンの名前に由来しています。ジルコンという言葉は、ペルシャ語の「金色」を意味する zargun ????? に由来しています。
41,Niobium,ニオブ,ニオブは、以前はコロンビウムと呼ばれ、記号 Nb (以前は Cb)、原子番号 41 の化学元素です。柔らかく、灰色で、延性のある遷移金属で、ニオブの主な商業的供給源であるパイロクロア鉱物やコロンバイトによく見られます。名前は、タンタルに非常に似ていることから、ギリシャ神話のタンタロスの娘ニオベに由来しています。
42,Molybdenum,モリブデン,モリブデンは、記号 Mo、原子番号 42 の化学元素です。名前は、その鉱石が鉛鉱石と混同されたため、鉛を意味する古代ギリシャ語の Μ?λυβδο? molybdos に由来する新ラテン語 molybdaenum に由来しています。モリブデン鉱物は歴史を通じて知られていましたが、この元素は 1778 年にカール ヴィルヘルム シェーレによって (他の金属の鉱物塩と区別する意味で) 発見されました。
43,Technetium,テクネチウム,テクネチウム (/t?k?ni??i?m/) は、記号 Tc、原子番号 43 の化学元素です。周期表で最も原子番号が小さい元素で、安定同位体はありません。つまり、テクネチウムのあらゆる形態は放射性です。テクネチウムはほぼすべて合成で生成され、自然界にはごく少量しか存在しません。
44,Ruthenium,ルテニウム,ルテニウムは、記号 Ru、原子番号 44 の化学元素です。周期表の白金族に属する希少な遷移金属です。白金族の他の金属と同様に、ルテニウムは他のほとんどの化学物質に対して不活性です。
45,Rhodium,ロジウム,ロジウムは、記号 Rh、原子番号 45 の化学元素です。希少で銀白色の硬質で化学的に不活性な遷移金属です。白金族に属します。
46,Palladium,パラジウム,パラジウムは、記号 Pd、原子番号 46 の化学元素です。希少で光沢のある銀白色の金属で、1803 年にウィリアム ハイド ウォラストンによって発見されました。彼は、パラスを倒したときにギリシャの女神アテナが獲得した小惑星パラスにちなんで名付けました。
47,Silver,銀,銀は、記号 Ag (ギリシャ語: ?ργυρο? ?rguros、ラテン語: argentum、どちらもインド・ヨーロッパ語の語根 *h?er?- から来ており、「灰色」または「輝く」)、原子番号 47 の化学元素です。柔らかく、白く、光沢のある遷移金属で、あらゆる金属の中で最も高い電気伝導率、熱伝導率、反射率を備えています。この金属は、純粋な自由形態 (天然銀)、金や他の金属との合金、銀鉱や緑鉛鉱などの鉱物として自然に存在します。
48,Cadmium,カドミウム,カドミウムは、記号 Cd、原子番号 48 の化学元素です。この柔らかく、青みがかった白色の金属は、12 族の他の 2 つの安定した金属、亜鉛と水銀と化学的に類似しています。亜鉛と同様に、ほとんどの化合物で酸化状態 +2 を好み、水銀と同様に遷移金属と比較して融点が低くなります。
49,Indium,インジウム,インジウムは、記号 In で原子番号 49 の化学元素です。これは、地球の地殻では稀な遷移後の金属元素です。この金属は非常に柔らかく、展性があり、溶けやすく、融点はナトリウムよりも高く、リチウムやスズよりも低いです。
50,Tin,スズ,スズは、記号 Sn (ラテン語: stannum) で原子番号 50 の化学元素です。これは、周期表の 14 族の主要金属です。スズは、隣接する 14 族元素であるゲルマニウムと鉛の両方と化学的に類似しており、+2 と、やや安定した +4 の 2 つの酸化状態が可能です。
51,Antimony,アンチモン,アンチモンは、記号 Sb (ラテン語: stibium) で原子番号 51 の化学元素です。光沢のある灰色の半金属で、主に硫化鉱物の輝安鉱 (Sb2S3) として自然界に存在します。アンチモン化合物は古代から知られており、化粧品に使用されていました。金属アンチモンも知られていましたが、発見された際に誤って鉛と特定されました。
52,Tellurium,テルル,テルルは、記号 Te、原子番号 52 の化学元素です。脆く、やや毒性のある、希少な銀白色の半金属です。テルルは、化学的にはセレンや硫黄と関連があります。
53,Iodine,ヨウ素,ヨウ素は、記号 I、原子番号 53 の化学元素です。名前は、ヨウ素蒸気の色にちなんで、紫色または紫色を意味するギリシャ語の ?οειδ?? ioeid?s に由来しています。ヨウ素とその化合物は、主に栄養に使用され、工業的には酢酸や特定のポリマーの製造に使用されます。
54,Xenon,キセノン,キセノンは、記号 Xe、原子番号 54 の化学元素です。無色、高密度、無臭の希ガスで、地球の大気中に微量に存在します。一般的には反応性がありませんが、キセノンは、合成された最初の希ガス化合物であるキセノンヘキサフルオロ白金酸塩の形成など、いくつかの化学反応を起こすことができます。
55,Cesium,セシウム,セシウムまたはセシウムは、記号 Cs、原子番号 55 の化学元素です。銀色がかった金色の柔らかいアルカリ金属で、融点は 28 °C (82 °F) です。そのため、室温または室温付近で液体である 5 つの元素金属のうちの 1 つです。セシウムはアルカリ金属で、物理的および化学的特性はルビジウムやカリウムに似ています。
56,Barium,バリウム,バリウムは、記号 Ba、原子番号 56 の化学元素です。第 2 族の 5 番目の元素で、銀色がかった柔らかい金属アルカリ土類金属です。バリウムは化学反応性が高いため、自然界では自由元素として見つかることはありません。
57,Lanthanum,ランタン,ランタンは、記号 La、原子番号 57 の柔らかく延性のある銀白色の金属化学元素です。空気にさらされると急速に変色し、ナイフで切れるほど柔らかいです。ランタンは、周期表でランタンとルテチウムの間にある 15 個の類似元素のグループであるランタノイド系列にその名を与えました。また、第 6 周期遷移金属の最初の元素と見なされることもあります。
58,Cerium,セリウム,セリウムは、記号 Ce、原子番号 58 の化学元素です。柔らかく銀色で延性のある金属で、空気中では容易に酸化します。セリウムは、準惑星セレス (ローマの農業の女神にちなんで名付けられました) にちなんで名付けられました。
59,Praseodymium,プラセオジム,プラセオジムは、記号 Pr、原子番号 59 の化学元素です。プラセオジムは、ランタニド グループの柔らかく、銀色で、展性があり、延性のある金属です。磁気、電気、化学、光学特性が高く評価されています。
60,Neodymium,ネオジム,ネオジムは、記号 Nd、原子番号 60 の化学元素です。空気中では変色する柔らかい銀色の金属です。ネオジムは、1885 年にオーストリアの化学者カール アウアー フォン ウェルスバッハによって発見されました。
61,Promethium,プロメチウム,プロメチウムは、もともとはプロメテウムと呼ばれていた化学元素で、記号 Pm、原子番号 61 です。その同位体はすべて放射性です。周期表で安定形態の元素が続くのは、テクネチウムと同じく、わずか 2 つの元素のうちの 1 つです。化学的には、プロメチウムはランタニドであり、他の元素と結合すると塩を形成します。
62,Samarium,サマリウム,サマリウムは、記号 Sm、原子番号 62 の化学元素です。中程度の硬さを持つ銀色の金属で、空気中で容易に酸化します。ランタノイド系列の典型的なメンバーであるサマリウムは、通常、酸化状態 +3 をとります。
63,Europium,ユーロピウム,ユーロピウムは、記号 Eu、原子番号 63 の化学元素です。1901 年に分離され、ヨーロッパ大陸にちなんで名付けられました。中程度の硬さを持つ銀色の金属で、空気中や水中で容易に酸化します。
64,Gadolinium,ガドリニウム,ガドリニウムは、記号 Gd、原子番号 64 の化学元素です。銀白色で、展性と延性のある希土類金属です。自然界では、結合した (塩) 形でのみ見つかります。
65,Terbium,テルビウム,テルビウムは、記号 Tb、原子番号 65 の化学元素です。銀白色の希土類金属で、可鍛性、延性があり、ナイフで切れるほど柔らかいです。テルビウムは自然界では自由元素として見つかりませんが、セライト、ガドリナイト、モナザイト、ゼノタイム、ユークセナイトなど、多くの鉱物に含まれています。
66,Dysprosium,ジスプロシウム,ジスプロシウムは、記号 Dy、原子番号 66 の化学元素です。金属銀色の光沢を持つ希土類元素です。ジスプロシウムは自然界では自由元素として見つかりませんが、ゼノタイムなど、さまざまな鉱物に含まれています。
67,Holmium,ホルミウム,ホルミウムは、記号 Ho、原子番号 67 の化学元素です。ランタノイド系列の一部であるホルミウムは希土類元素です。ホルミウムはスウェーデンの化学者ペル・テオドール・クレーベによって発見されました。
68,Erbium,エルビウム,エルビウムはランタノイド系列の化学元素で、記号は Er、原子番号は 68 です。人工的に分離すると銀白色の固体金属となる天然のエルビウムは、地球上の他の元素と化学的に結合した状態で常に見つかります。そのため、エルビウムは希土類元素であり、スウェーデンのイッテルビー産の鉱物ガドリナイトに含まれる他のいくつかの希少元素と関連しています。イットリウム、イッテルビウム、テルビウムはここで発見されました。
69,Thulium,ツリウム,ツリウムは、記号 Tm、原子番号 69 の化学元素です。ランタノイド系列の 13 番目で最後から 2 番目の元素です。他のランタノイドと同様に、最も一般的な酸化状態は +3 で、酸化物、ハロゲン化物、その他の化合物に見られます。
70,Ytterbium,イッテルビウム,イッテルビウムは、記号 Yb、原子番号 70 の化学元素です。ランタノイド系列の 14 番目で最後から 2 番目の元素であり、これが +2 の酸化状態の相対的安定性の基礎となっています。ただし、他のランタノイドと同様に、最も一般的な酸化状態は +3 であり、酸化物、ハロゲン化物、その他の化合物に見られます。
71,Lutetium,ルテチウム,ルテチウムは、記号 Lu、原子番号 71 の化学元素です。銀白色の金属で、乾燥した空気では腐食に強いですが、湿った空気では腐食に弱いです。第 6 周期遷移金属の最初の元素、ランタノイド系列の最後の元素と考えられており、伝統的に希土類元素に分類されています。
72,Hafnium,ハフニウム,ハフニウムは、記号 Hf、原子番号 72 の化学元素です。光沢のある銀灰色の 4 価遷移金属であるハフニウムは、化学的にジルコニウムに似ており、ジルコニウム鉱物に含まれています。その存在は 1869 年にドミトリ メンデレーエフによって予測されましたが、1923 年まで特定されず、発見された最後から 2 番目の安定元素となりました (レニウムは 2 年後に特定されました)。
73,Tantalum,タンタル,タンタルは、記号 Ta、原子番号 73 の化学元素です。以前はタンタリウムと呼ばれていましたが、その名前はギリシャ神話の反英雄タンタロスに由来しています。タンタルは、耐腐食性に優れた、希少で硬く、青灰色で光沢のある遷移金属です。
74,Tungsten,タングステン,タングステンはウルフラムとも呼ばれ、記号 W、原子番号 74 の化学元素です。タングステンという言葉は、スウェーデン語の tung sten に由来しており、直訳すると「重い石」となります。ただし、スウェーデン語では volfram と呼ばれ、これは、スウェーデン語で別名タングステンと呼ばれる灰重石と区別するためです。
75,Rhenium,レニウム,レニウムは、記号 Re、原子番号 75 の化学元素です。周期表の第 7 族に属する銀白色の重い第 3 列遷移金属です。推定平均濃度が 1 ppb (10 億分の 1) のレニウムは、地殻で最も希少な元素の 1 つです。
76,Osmium,オスミウム,オスミウム (ギリシャ語の osme (?σμ?) は「匂い」を意味する) は、記号 Os、原子番号 76 の化学元素です。白金族に属する硬くて脆い青白色の遷移金属で、合金の微量元素として、主に白金鉱石に含まれています。オスミウムは、密度が 22.59 g/cm3 で、天然に存在する元素の中で最も密度が高い元素です。
77,Iridium,イリジウム,イリジウムは、記号 Ir、原子番号 77 の化学元素です。白金族に属する非常に硬くて脆い銀白色の遷移金属であるイリジウムは、測定された密度に基づくと、オスミウムに次いで 2 番目に密度が高い元素であると一般に考えられていますが、元素の空間格子に関する計算では、イリジウムの方が密度が高いことが示されています。また、2000 °C という高温でも最も耐食性に優れた金属です。固体イリジウムに対して腐食性があるのは特定の溶融塩とハロゲンだけですが、細かく砕いたイリジウムの粉塵ははるかに反応性が高く、可燃性があります。
78,Platinum,プラチナ,プラチナは、記号 Pt、原子番号 78 の化学元素です。密度が高く、展性があり、延性があり、非常に反応性が低く、貴重で、灰白色の遷移金属です。名前はスペイン語の platina に由来しており、文字通り「小さな銀」と翻訳されます。
79,Gold,金,金は、記号 Au (ラテン語: aurum から)、原子番号 79 の化学元素です。最も純粋な形では、明るく、わずかに赤みがかった黄色で、密度が高く、柔らかく、展性があり、延性のある金属です。化学的には、金は遷移金属であり、第 11 族元素です。
80,Mercury,水銀,水銀は、記号 Hg、原子番号 80 の化学元素です。一般に水銀として知られ、以前は水銀 (/ha??dr??rd??r?m/) と呼ばれていました。重く銀色の d ブロック元素である水銀は、温度と圧力の標準条件で液体である唯一の金属元素です。これらの条件で液体である他の元素は臭素のみですが、セシウム、ガリウム、ルビジウムなどの金属は室温よりわずかに高い温度で溶けます。
81,Thallium,タリウム,タリウムは、記号 Tl、原子番号 81 の化学元素です。この柔らかい灰色の遷移後金属は、自然界では自由に見つかりません。単離するとスズに似ていますが、空気にさらされると変色します。
82,Lead,鉛,鉛 (/l?d/) は炭素族の元素で、記号は Pb (ラテン語:plumbum から)、原子番号は 82 です。鉛は柔らかく、展性があり、重い遷移後金属です。金属鉛は切りたての青白色ですが、空気に触れるとすぐに鈍い灰色に変色します。
83,Bismuth,ビスマス,ビスマスは、記号 Bi、原子番号 83 の元素です。五価遷移後金属であるビスマスは、化学的にはヒ素やアンチモンに似ています。元素ビスマスは天然に存在することもありますが、硫化物や酸化物は重要な商業鉱石となります。
84,Polonium,ポロニウム,ポロニウムは、記号 Po、原子番号 84 の元素で、1898 年にマリー・キュリーとピエール・キュリーによって発見されました。ポロニウムは、安定同位体を持たない希少で放射性の高い元素で、化学的にはビスマスやテルルと似ており、ウラン鉱石に含まれています。ポロニウムの用途は限られています。
85,Astatine,アスタチン,アスタチンは、化学記号 At、原子番号 85 の非常に希少な放射性化学元素です。地球上では、さまざまなより重い元素の崩壊生成物として存在します。その同位体はすべて短寿命で、最も安定しているのはアスタチン 210 で、半減期は 8.1 時間です。
86,Radon,ラドン,ラドンは、記号 Rn、原子番号 86 の化学元素です。放射性で無色、無臭、無味の希ガスで、ラジウムの崩壊生成物として自然に発生します。最も安定した同位体である 222Rn の半減期は 3.8 日です。
87,Francium,フランシウム,フランシウムは、記号 Fr、原子番号 87 の化学元素です。以前はエカセシウムやアクチニウム K と呼ばれていました。セシウムに次いで 2 番目に電気陰性度の低い元素です。フランシウムは、アスタチン、ラジウム、ラドンに崩壊する高放射性金属です。
88,Radium,ラジウム,ラジウムは、記号 Ra、原子番号 88 の化学元素です。周期表の 2 族の 6 番目の元素で、アルカリ土類金属としても知られています。純粋なラジウムはほぼ無色ですが、空気にさらされると窒素（酸素ではなく）と容易に結合し、ラジウム窒化物（Ra3N2）の黒い表面層を形成します。
89,Actinium,アクチニウム：アクチニウムは、記号Ac（アセチル基の略語と混同しないでください）と原子番号89を持つ放射性化学元素で、1899年に発見されました。これは、単離された最初の非原始放射性元素でした。ポロニウム、ラジウム、ラドンはアクチニウムより前に観察されていましたが、1902年まで単離されませんでした。,
90,Thorium,トリウム：トリウムは、記号Thと原子番号90を持つ化学元素です。放射性アクチニド金属であるトリウムは、原始元素として今でも大量に自然に存在するわずか2つの放射性元素のうちの1つです（もう1つはウランです）。 1828 年にノルウェーの牧師でアマチュア鉱物学者のモーテン・トラネ・エスマークによって発見され、スウェーデンの化学者イェンス・ヤコブ・ベルセリウスによって同定され、北欧神話の雷神トールにちなんで名付けられました。,
91,Protactinium,プロトアクチニウム,プロトアクチニウムは、記号 Pa、原子番号 91 の元素です。銀灰色の濃い金属で、酸素、水蒸気、無機酸と容易に反応します。さまざまな化合物を形成しますが、プロトアクチニウムは通常、酸化状態 +5 で存在しますが、+4 や +2 または +3 の状態になることもあります。
92,Uranium,ウラン,ウランは、記号 U、原子番号 92 の元素です。周期表のアクチノイド系列に属する銀白色の金属です。ウラン原子には 92 個の陽子と 92 個の電子があり、そのうち 6 個は価電子です。
93,Neptunium,ネプツニウム,ネプツニウムは、記号 Np、原子番号 93 の化学元素です。放射性アクチノイド金属であるネプツニウムは、最初の超ウラン元素です。周期表でウランのすぐ後ろに位置することから、天王星にちなんで名付けられ、天王星の次の惑星である海王星にちなんで名付けられました。
94,Plutonium,プルトニウム,プルトニウムは、記号 Pu、原子番号 94 の超ウラン放射性化学元素です。銀灰色の外観を持つアクチノイド金属で、空気にさらされると変色し、酸化されると鈍いコーティングを形成します。この元素は通常、6 つの同素体と 4 つの酸化状態を示します。
95,Americium,アメリシウム,アメリシウムは、記号 Am、原子番号 95 の放射性超ウラン化学元素です。アクチノイド系列のこの元素は、周期表でランタニド元素ユーロピウムの下に位置しているため、類推によりアメリカ大陸にちなんで名付けられました。アメリシウムは、1944 年にカリフォルニア州バークレーのグレン T. シーボーグのグループがシカゴ大学の冶金研究所で初めて生成しました。
96,Curium,キュリウム,キュリウムは、記号 Cm、原子番号 96 の超ウラン放射性化学元素です。このアクチノイド系列の元素は、放射能の研究で知られるマリーとピエール キュリーにちなんで名付けられました。キュリウムは、1944 年 7 月にカリフォルニア大学バークレー校のグレン T. シーボーグのグループによって初めて意図的に生成され、特定されました。
97,Berkelium,バークリウム,バークリウムは、記号 Bk、原子番号 97 の超ウラン放射性化学元素です。アクチノイドおよび超ウラン元素系列に属します。 1949 年 12 月にカリフォルニア大学放射線研究所で発見されたカリフォルニア州バークレー市にちなんで名付けられました。
98,Californium,カリフォルニウム,カリフォルニウムは、記号 Cf、原子番号 98 の放射性金属化学元素です。この元素は、1950 年にカリフォルニア大学バークレー校放射線研究所で、キュリウムにアルファ粒子 (ヘリウム 4 イオン) を照射して初めて作られました。これはアクチニド元素で、6 番目に合成された超ウラン元素であり、肉眼で見えるほどの量で生成されたすべての元素の中で 2 番目に原子質量が大きい元素です (アインシュタイニウムに次ぐ)。
99,Einsteinium,アインシュタイニウム,アインシュタイニウムは、記号 Es、原子番号 99 の合成元素です。7 番目の超ウラン元素で、アクチニドです。アインシュタイニウムは、1952 年に最初の水素爆弾の爆発の残骸の成分として発見され、アルバート アインシュタインにちなんで名付けられました。
100,Fermium,フェルミウム,フェルミウムは、記号 Fm、原子番号 100 の合成元素です。アクチノイド系列に属します。軽い元素を中性子で照射して生成できる最も重い元素であり、したがってマクロ量で生成できる最後の元素ですが、純粋なフェルミウム金属はまだ生成されていません。
101,Mendelevium,メンデレビウム,メンデレビウムは、化学記号 Md (旧 Mv)、原子番号 101 の合成元素です。アクチノイド系列の金属放射性超ウラン元素で、現在、軽い元素を中性子で照射してマクロ量で生成できない最初の元素です。最後から 2 番目のアクチノイドであり、9 番目の超ウラン元素です。
